Subjects,Script Key,Grade,Video Release Month,Script Due Date,Actual Script Closed,Storyboard Due Date,Actual Storyboard Closed,Shoot Due Date,Actual Shoot Closed,Script Late or On Time,StoryBoard Late or On Time,Shoot Late or On Time,Script Stage,StoryBoard Stage,Shoot Stage
Maths,SK06ma1401,6,March,29/10/2022,29/09/2022,30/09/2022,30/09/2022,01/10/2022,01/10/2022,-30,0,0,On Time,On Time,On Time
Maths,SK06ma1402,6,March,29/09/2022,29/09/2022,30/09/2022,30/09/2022,01/10/2022,01/10/2022,0,0,0,On Time,On Time,On Time
Maths,SK06ma1403,6,March,29/09/2022,29/09/2022,30/09/2022,30/09/2022,01/10/2022,01/10/2022,0,0,0,On Time,On Time,On Time
Maths,SK06ma1404,6,March,29/09/2022,29/09/2022,30/09/2022,30/09/2022,01/10/2022,01/10/2022,0,0,0,On Time,On Time,On Time
Maths,SK06ma1406,6,March,29/09/2022,29/09/2022,03/10/2022,03/10/2022,10/10/2022,10/10/2022,0,0,0,On Time,On Time,On Time
Maths,SK06ma1405,6,March,29/09/2022,29/09/2022,03/10/2022,03/10/2022,19/01/2023,19/01/2023,0,0,0,On Time,On Time,On Time
Maths,SK06ma1407,6,March,29/09/2022,29/09/2022,11/10/2022,11/10/2022,13/10/2022,13/10/2022,0,0,0,On Time,On Time,On Time
Maths,SK06ma1408,6,March,29/09/2022,29/09/2022,10/10/2022,10/10/2022,13/10/2022,13/10/2022,0,0,0,On Time,On Time,On Time
Maths,SK06ma1001,6,March,26/09/2022,26/09/2022,13/10/2022,13/10/2022,27/10/2022,27/10/2022,0,0,0,On Time,On Time,On Time
Maths,SK06ma1002,6,March,29/10/2022,26/09/2022,03/10/2022,03/10/2022,27/10/2022,27/10/2022,-33,0,0,On Time,On Time,On Time
Maths,SK06ma1003,6,March,26/09/2022,26/09/2022,10/10/2022,10/10/2022,27/10/2022,27/10/2022,0,0,0,On Time,On Time,On Time
Maths,SK06ma1004,6,March,10/10/2022,16/02/2023,11/10/2022,11/10/2022,27/10/2022,27/10/2022,129,0,0,Critically Delayed,On Time,On Time
Maths,SK06ma1201,6,October,26/09/2022,26/09/2022,02/06/2023,02/06/2023,05/12/2022,05/12/2022,0,0,0,On Time,On Time,On Time
Maths,SK06ma1202,6,October,29/10/2022,10/10/2022,13/11/2023,10/06/2023,05/12/2022,05/12/2022,-19,-156,0,On Time,On Time,On Time
Maths,SK06ma1205,6,October,25/10/2022,25/10/2022,27/12/2023,22/06/2023,06/12/2022,06/12/2022,0,-188,0,On Time,On Time,On Time
Maths,SK10ma0101,10,March,25/10/2022,25/10/2022,23/01/2023,23/01/2023,23/01/2023,23/01/2023,0,0,0,On Time,On Time,On Time
Maths,SK10ma0102,10,March,25/10/2022,25/10/2022,20/01/2023,20/01/2023,23/01/2023,23/01/2023,0,0,0,On Time,On Time,On Time
Maths,SK10ma0103,10,March,25/10/2022,25/10/2022,30/01/2023,30/01/2023,23/01/2023,23/01/2023,0,0,0,On Time,On Time,On Time
Maths,SK10ma0104,10,March,25/10/2022,25/10/2022,08/02/2023,08/02/2023,24/01/2023,24/01/2023,0,0,0,On Time,On Time,On Time
Maths,SK10ma0105,10,March,03/11/2022,03/11/2022,02/02/2023,02/02/2023,24/01/2023,24/01/2023,0,0,0,On Time,On Time,On Time
Maths,SK10ma0201,10,March,25/10/2022,25/10/2022,18/01/2023,18/01/2023,25/01/2023,25/01/2023,0,0,0,On Time,On Time,On Time
Maths,SK10ma0202,10,March,25/10/2022,25/10/2022,20/01/2023,20/01/2023,25/01/2023,25/01/2023,0,0,0,On Time,On Time,On Time
Maths,SK10ma0203,10,March,25/10/2022,25/10/2022,31/01/2023,31/01/2023,25/01/2023,25/01/2023,0,0,0,On Time,On Time,On Time
Maths,SK10ma0204,10,March,03/11/2022,03/11/2022,03/02/2023,03/02/2023,27/01/2023,27/01/2023,0,0,0,On Time,On Time,On Time
Maths,SK06ma0201,6,April,04/11/2022,04/11/2022,10/04/2023,19/04/2023,25/02/2023,25/02/2023,0,9,0,On Time,Critically Delayed,On Time
Maths,SK06ma0202,6,April,04/11/2022,04/11/2022,14/04/2023,02/05/2023,16/12/2022,16/12/2022,0,18,0,On Time,Critically Delayed,On Time
Maths,SK06ma0203,6,April,04/11/2022,04/11/2022,28/03/2023,28/03/2023,12/12/2022,12/12/2022,0,0,0,On Time,On Time,On Time
Maths,SK06ma0204,6,April,04/11/2022,04/11/2022,07/04/2023,11/04/2023,16/12/2022,16/12/2022,0,4,0,On Time,Depayed,On Time
Maths,SK06ma0205,6,April,07/11/2022,07/11/2022,17/04/2023,17/04/2023,25/02/2023,25/02/2023,0,0,0,On Time,On Time,On Time
Maths,SK06ma0206,6,April,14/11/2022,14/11/2022,18/04/2023,19/04/2023,12/12/2022,12/12/2022,0,1,0,On Time,Depayed,On Time
Maths,SK06ma0207,6,April,17/11/2022,17/11/2022,18/04/2023,18/04/2023,22/12/2022,22/12/2022,0,0,0,On Time,On Time,On Time
Maths,SK06ma0208,6,April,21/11/2022,04/04/2023,18/04/2023,18/04/2023,04/05/2023,04/05/2023,134,0,0,Critically Delayed,On Time,On Time
Maths,SK06ma0209,6,April,21/11/2022,04/04/2023,05/04/2023,18/04/2023,05/04/2023,05/04/2023,134,13,0,Critically Delayed,Critically Delayed,On Time
Maths,SK06ma0301,6,June,16/02/2023,25/04/2023,10/04/2023,10/04/2023,11/04/2023,11/04/2023,68,0,0,Critically Delayed,On Time,On Time
Maths,SK06ma0302,6,June,09/03/2023,09/03/2023,14/04/2023,11/04/2023,11/04/2023,11/04/2023,0,-3,0,On Time,On Time,On Time
Maths,SK06ma0303,6,June,14/03/2023,14/03/2023,02/06/2023,02/06/2023,11/04/2023,11/04/2023,0,0,0,On Time,On Time,On Time
Maths,SK06ma0304,6,June,21/03/2023,21/03/2023,02/06/2023,05/06/2023,12/04/2023,12/04/2023,0,3,0,On Time,Depayed,On Time
Maths,SK06ma0305,6,June,27/03/2023,27/03/2023,08/05/2023,08/05/2023,12/04/2023,12/04/2023,0,0,0,On Time,On Time,On Time
Maths,SK06ma0306,6,June,30/03/2023,30/03/2023,30/05/2023,30/05/2023,12/04/2023,12/04/2023,0,0,0,On Time,On Time,On Time
Maths,SK06ma0307,6,June,31/03/2023,25/04/2023,30/05/2023,05/06/2023,27/04/2023,27/04/2023,25,6,0,Critically Delayed,Critically Delayed,On Time
Maths,SK06ma0308,6,June,30/04/2023,06/04/2023,25/05/2023,25/05/2023,27/04/2023,27/04/2023,-24,0,0,On Time,On Time,On Time
Maths,SK06ma0309,6,June,24/04/2023,25/04/2023,30/05/2023,30/05/2023,11/05/2023,11/05/2023,1,0,0,Depayed,On Time,On Time
Maths,SK06ma0601,6,June,26/09/2022,07/04/2023,06/04/2023,06/04/2023,05/06/2023,05/06/2023,193,0,0,Critically Delayed,On Time,On Time
Maths,SK06ma0602,6,June,24/04/2023,24/04/2023,03/04/2023,03/04/2023,08/06/2023,08/06/2023,0,0,0,On Time,On Time,On Time
Maths,SK06ma0603,6,June,24/04/2023,24/04/2023,04/05/2023,04/05/2023,08/06/2023,08/06/2023,0,0,0,On Time,On Time,On Time
Maths,SK06ma0701,6,July,20/01/2023,20/01/2023,05/06/2023,26/07/2023,13/07/2023,13/07/2023,0,51,0,On Time,Critically Delayed,On Time
Maths,SK06ma0802,6,July,24/04/2023,27/04/2023,28/04/2023,08/05/2023,15/06/2023,15/06/2023,3,10,0,Depayed,Critically Delayed,On Time
Maths,SK06ma0803,6,July,15/05/2023,19/05/2023,27/12/2023,27/12/2023,15/06/2023,15/06/2023,4,0,0,Depayed,On Time,On Time
Maths,SK06ma0804,6,July,15/05/2023,19/05/2023,31/05/2023,01/06/2023,19/06/2023,19/06/2023,4,1,0,Depayed,Depayed,On Time
Maths,SK06ma0807,6,July,25/05/2023,22/05/2023,27/12/2023,16/06/2023,26/06/2023,26/06/2023,-3,-194,0,On Time,On Time,On Time
Maths,SK06ma0808,6,July,29/05/2023,29/05/2023,27/12/2023,12/07/2023,03/07/2023,03/07/2023,0,-168,0,On Time,On Time,On Time
Maths,SK06ma0310,6,June,24/04/2023,28/04/2023,10/05/2023,19/05/2023,16/05/2023,16/05/2023,4,9,0,Depayed,Critically Delayed,On Time
Maths,SK06ma0311,6,June,24/04/2023,28/04/2023,29/05/2023,29/05/2023,16/05/2023,16/05/2023,4,0,0,Depayed,On Time,On Time
Maths,SK06ma0312,6,June,13/02/2023,13/02/2023,02/06/2023,02/06/2023,27/04/2023,27/04/2023,0,0,0,On Time,On Time,On Time
Maths,SK06ma0313,6,June,13/03/2023,13/03/2023,08/05/2023,08/05/2023,28/04/2023,28/04/2023,0,0,0,On Time,On Time,On Time
Maths,SK06ma0314,6,June,22/03/2023,22/03/2023,05/06/2023,05/06/2023,28/04/2023,28/04/2023,0,0,0,On Time,On Time,On Time
Maths,SK06ma0315,6,June,27/03/2023,27/03/2023,02/06/2023,01/06/2023,28/04/2023,28/04/2023,0,-1,0,On Time,On Time,On Time
Maths,SK06ma0316,6,June,24/04/2023,24/04/2023,12/05/2023,31/05/2023,12/05/2023,12/05/2023,0,19,0,On Time,Critically Delayed,On Time
Maths,SK06ma0317,6,June,24/04/2023,24/04/2023,12/05/2023,08/05/2023,12/05/2023,12/05/2023,0,-4,0,On Time,On Time,On Time
Maths,SK06ma0318,6,June,24/04/2023,24/04/2023,12/05/2023,19/05/2023,12/05/2023,12/05/2023,0,7,0,On Time,Critically Delayed,On Time
Maths,SK07ma0101,7,March,16/02/2023,16/02/2023,09/05/2022,09/05/2022,20/02/2023,20/02/2023,0,0,0,On Time,On Time,On Time
Maths,SK07ma0102,7,March,16/02/2022,17/02/2023,17/03/2023,17/03/2023,20/02/2023,20/02/2023,366,0,0,Critically Delayed,On Time,On Time
Maths,SK07ma0103,7,March,03/02/2023,03/02/2023,28/02/2023,28/02/2023,13/02/2023,13/02/2023,0,0,0,On Time,On Time,On Time
Maths,SK07ma0104,7,March,03/02/2023,03/02/2023,02/03/2023,02/03/2023,13/02/2023,13/02/2023,0,0,0,On Time,On Time,On Time
Maths,SK07ma0105,7,March,03/02/2023,03/02/2023,09/03/2023,25/05/2023,13/02/2023,13/02/2023,0,77,0,On Time,Critically Delayed,On Time
Maths,SK07ma0106,7,March,13/02/2023,13/02/2023,09/03/2023,09/03/2023,14/02/2023,14/02/2023,0,0,0,On Time,On Time,On Time
Maths,SK07ma0107,7,March,13/02/2023,13/02/2023,06/03/2023,06/03/2023,14/02/2023,14/02/2023,0,0,0,On Time,On Time,On Time
Maths,SK07ma0108,7,March,13/02/2023,14/02/2023,27/03/2023,27/03/2023,15/02/2023,15/02/2023,1,0,0,Depayed,On Time,On Time
Maths,SK07ma0109,7,March,13/02/2023,14/02/2023,08/03/2023,08/03/2023,15/02/2023,15/02/2023,1,0,0,Depayed,On Time,On Time
Maths,SK07ma0110,7,March,13/02/2023,16/02/2023,11/03/2023,29/05/2023,16/02/2023,16/02/2023,3,79,0,Depayed,Critically Delayed,On Time
